nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
        13  1.416452479E-01  1.882838204E-01 -1.638173492E-01  2.120196550E-04  0.000000000E+00 -1.638173492E-01  1.882838204E-01  1.416452479E-01 
        14  1.416918632E-01  1.882464466E-01 -1.638165785E-01  1.648853911E-04  0.000000000E+00 -1.638165785E-01  1.882464466E-01  1.416918632E-01 
        15  1.417373562E-01  1.882098435E-01 -1.638152973E-01  1.447960955E-04  0.000000000E+00 -1.638152973E-01  1.882098435E-01  1.417373562E-01 
        16  1.417661743E-01  1.881861877E-01 -1.638126373E-01  0.000000000E+00  2.309687853E-03 -1.638126373E-01  1.881861877E-01  1.417661743E-01 
        17  1.414772339E-01  1.884159241E-01 -1.638099060E-01  0.000000000E+00  2.456048288E-03 -1.638099060E-01  1.884159241E-01  1.414772339E-01 
        18  1.415899223E-01  1.883253088E-01 -1.638070026E-01  4.188115962E-04  0.000000000E+00 -1.638070026E-01  1.883253088E-01  1.415899223E-01 
        19  1.417328928E-01  1.882106447E-01 -1.638044418E-01  1.206833994E-04 -4.041240518E-06 -1.638044418E-01  1.882106447E-01  1.417328928E-01 
        20  1.417622449E-01  1.881871539E-01 -1.638041062E-01  8.874737615E-05  0.000000000E+00 -1.638041062E-01  1.881871539E-01  1.417622449E-01 
        21  1.416868622E-01  1.882467914E-01 -1.638022323E-01  1.937379152E-04 -3.108990510E-06 -1.638022323E-01  1.882467914E-01  1.416868622E-01 
        22  1.415555284E-01  1.883510482E-01 -1.638003331E-01  4.691493597E-04  0.000000000E+00 -1.638003331E-01  1.883510482E-01  1.415555284E-01 
        23  1.416402822E-01  1.882833470E-01 -1.637998950E-01  3.465789787E-04  0.000000000E+00 -1.637998950E-01  1.882833470E-01  1.416402822E-01 
        24  1.417575670E-01  1.881882715E-01 -1.637938219E-01  1.496521395E-04  0.000000000E+00 -1.637938219E-01  1.881882715E-01  1.417575670E-01 
        25  1.414761339E-01  1.884123577E-01 -1.637924147E-01  2.087986083E-04  0.000000000E+00 -1.637924147E-01  1.884123577E-01  1.414761339E-01 
        26  1.417258080E-01  1.882130872E-01 -1.637918192E-01  1.176169604E-04 -1.752617189E-05 -1.637918192E-01  1.882130872E-01  1.417258080E-01 
        27  1.415829027E-01  1.883258858E-01 -1.637872312E-01  6.188740579E-04  0.000000000E+00 -1.637872312E-01  1.883258858E-01  1.415829027E-01 
        28  1.416785378E-01  1.882491795E-01 -1.637854945E-01  3.411126953E-04 -7.364583837E-06 -1.637854945E-01  1.882491795E-01  1.416785378E-01 
        29  1.417519949E-01  1.881895416E-01 -1.637813305E-01  1.666699711E-04 -3.074160860E-06 -1.637813305E-01  1.881895416E-01  1.417519949E-01 
        30  1.416317397E-01  1.882851236E-01 -1.637800701E-01  6.435784579E-04  0.000000000E+00 -1.637800701E-01  1.882851236E-01  1.416317397E-01 
        31  1.415484011E-01  1.883508384E-01 -1.637771340E-01  7.243356201E-04  0.000000000E+00 -1.637771340E-01  1.883508384E-01  1.415484011E-01 
        32  1.414750228E-01  1.884079582E-01 -1.637716101E-01  4.384968751E-04  0.000000000E+00 -1.637716101E-01  1.884079582E-01  1.414750228E-01 
        33  1.417437493E-01  1.881926227E-01 -1.637675771E-01  2.819512820E-04 -9.600936484E-06 -1.637675771E-01  1.881926227E-01  1.417437493E-01 
        34  1.413748322E-01  1.884855652E-01 -1.637625732E-01  0.000000000E+00  7.380058465E-04 -1.637625732E-01  1.884855652E-01  1.413748322E-01 
        35  1.418179169E-01  1.881312561E-01 -1.637588501E-01  0.000000000E+00  2.122972425E-03 -1.637588501E-01  1.881312561E-01  1.418179169E-01 
        36  1.417057865E-01  1.882186572E-01 -1.637508970E-01  4.403227176E-04 -1.153068918E-05 -1.637508970E-01  1.882186572E-01  1.417057865E-01 
        37  1.418113690E-01  1.881334493E-01 -1.637469341E-01  1.270936578E-04  0.000000000E+00 -1.637469341E-01  1.881334493E-01  1.418113690E-01 
        38  1.414734970E-01  1.884028765E-01 -1.637468175E-01  7.060286488E-04  0.000000000E+00 -1.637468175E-01  1.884028765E-01  1.414734970E-01 
        39  1.413762938E-01  1.884791599E-01 -1.637419510E-01  3.103086060E-04  0.000000000E+00 -1.637419510E-01  1.884791599E-01  1.413762938E-01 
        40  1.418035967E-01  1.881360257E-01 -1.637326839E-01  2.624284547E-04  0.000000000E+00 -1.637326839E-01  1.881360257E-01  1.418035967E-01 
        41  1.413103790E-01  1.885269928E-01 -1.637233124E-01  0.000000000E+00 -5.273162569E-04 -1.637233124E-01  1.885269928E-01  1.413103790E-01 
        42  1.413783268E-01  1.884713242E-01 -1.637174925E-01  6.735740415E-04  0.000000000E+00 -1.637174925E-01  1.884713242E-01  1.413783268E-01 
        43  1.414679299E-01  1.883997002E-01 -1.637168401E-01  1.223591480E-03  0.000000000E+00 -1.637168401E-01  1.883997002E-01  1.414679299E-01 
        44  1.417944294E-01  1.881390007E-01 -1.637156247E-01  4.224053827E-04  0.000000000E+00 -1.637156247E-01  1.881390007E-01  1.417944294E-01 
        45  1.415828852E-01  1.883074984E-01 -1.637147613E-01  1.172209458E-03  0.000000000E+00 -1.637147613E-01  1.883074984E-01  1.415828852E-01 
        46  1.416600223E-01  1.882456607E-01 -1.637135244E-01  9.938587569E-04  0.000000000E+00 -1.637135244E-01  1.882456607E-01  1.416600223E-01 
        47  1.418684387E-01  1.880776215E-01 -1.637063293E-01  0.000000000E+00  1.644091167E-03 -1.637063293E-01  1.880776215E-01  1.418684387E-01 
        48  1.415278523E-01  1.883490040E-01 -1.637053813E-01  1.290884441E-03  0.000000000E+00 -1.637053813E-01  1.883490040E-01  1.415278523E-01 
        49  1.413142685E-01  1.885178073E-01 -1.636993670E-01  3.988374158E-04  0.000000000E+00 -1.636993670E-01  1.885178073E-01  1.413142685E-01 
        50  1.417815118E-01  1.881445851E-01 -1.636970637E-01  7.113014722E-04  0.000000000E+00 -1.636970637E-01  1.881445851E-01  1.417815118E-01 
        51  1.417205188E-01  1.881931201E-01 -1.636966230E-01  8.908930268E-04  0.000000000E+00 -1.636966230E-01  1.881931201E-01  1.417205188E-01 
        52  1.418611622E-01  1.880805580E-01 -1.636950463E-01  1.601513466E-04  0.000000000E+00 -1.636950463E-01  1.880805580E-01  1.418611622E-01 
        53  1.413802120E-01  1.884623702E-01 -1.636881685E-01  1.102343063E-03  0.000000000E+00 -1.636881685E-01  1.884623702E-01  1.413802120E-01 
        54  1.418525092E-01  1.880840320E-01 -1.636815571E-01  3.312129455E-04  0.000000000E+00 -1.636815571E-01  1.880840320E-01  1.418525092E-01 
        55  1.413192434E-01  1.885066865E-01 -1.636712112E-01  8.692853306E-04  0.000000000E+00 -1.636712112E-01  1.885066865E-01  1.413192434E-01 
        56  1.418423151E-01  1.880880667E-01 -1.636654376E-01  5.225341044E-04  0.000000000E+00 -1.636654376E-01  1.880880667E-01  1.418423151E-01 
        57  1.413784765E-01  1.884545468E-01 -1.636519267E-01  1.771967973E-03  0.000000000E+00 -1.636519267E-01  1.884545468E-01  1.413784765E-01 
        58  1.419066467E-01  1.880323334E-01 -1.636479797E-01  0.000000000E+00  1.894077960E-03 -1.636479797E-01  1.880323334E-01  1.419066467E-01 
        59  1.418284986E-01  1.880946751E-01 -1.636480794E-01  7.863203766E-04  0.000000000E+00 -1.636480794E-01  1.880946751E-01  1.418284986E-01 
        60  1.416831657E-01  1.882086515E-01 -1.636404763E-01  1.513063212E-03  0.000000000E+00 -1.636404763E-01  1.882086515E-01  1.416831657E-01 
        61  1.413242617E-01  1.884941176E-01 -1.636374914E-01  1.436742122E-03  0.000000000E+00 -1.636374914E-01  1.884941176E-01  1.413242617E-01 
        62  1.418981592E-01  1.880361784E-01 -1.636364783E-01  1.653477372E-04  0.000000000E+00 -1.636364783E-01  1.880361784E-01  1.418981592E-01 
        63  1.416167237E-01  1.882584494E-01 -1.636279172E-01  1.883209871E-03  0.000000000E+00 -1.636279172E-01  1.882584494E-01  1.416167237E-01 
        64  1.418880886E-01  1.880407263E-01 -1.636227755E-01  3.417450950E-04  0.000000000E+00 -1.636227755E-01  1.880407263E-01  1.418880886E-01 
        65  1.411640167E-01  1.886161041E-01 -1.636146240E-01  0.000000000E+00 -9.336060775E-04 -1.636146240E-01  1.886161041E-01  1.411640167E-01 
        66  1.415119430E-01  1.883383075E-01 -1.636133524E-01  2.230543628E-03  0.000000000E+00 -1.636133524E-01  1.883383075E-01  1.415119430E-01 
        67  1.417482490E-01  1.881493385E-01 -1.636113674E-01  1.401673396E-03  0.000000000E+00 -1.636113674E-01  1.881493385E-01  1.417482490E-01 
        68  1.418762172E-01  1.880460390E-01 -1.636064317E-01  5.405733979E-04  0.000000000E+00 -1.636064317E-01  1.880460390E-01  1.418762172E-01 
        69  1.419399414E-01  1.879928436E-01 -1.635971222E-01  0.000000000E+00  1.789297100E-03 -1.635971222E-01  1.879928436E-01  1.419399414E-01 
        70  1.413261700E-01  1.884820761E-01 -1.635960846E-01  2.253676696E-03  0.000000000E+00 -1.635960846E-01  1.884820761E-01  1.413261700E-01 
        71  1.411725631E-01  1.886041978E-01 -1.635945880E-01  4.508868933E-04  0.000000000E+00 -1.635945880E-01  1.886041978E-01  1.411725631E-01 
        72  1.418606832E-01  1.880539612E-01 -1.635888622E-01  7.838157182E-04  0.000000000E+00 -1.635888622E-01  1.880539612E-01  1.418606832E-01 
        73  1.419322777E-01  1.879966058E-01 -1.635878702E-01  1.606214893E-04  0.000000000E+00 -1.635878702E-01  1.879966058E-01  1.419322777E-01 
        74  1.419231681E-01  1.880010672E-01 -1.635768315E-01  3.315677271E-04  0.000000000E+00 -1.635768315E-01  1.880010672E-01  1.419231681E-01 
        75  1.411828803E-01  1.885900238E-01 -1.635711852E-01  9.734360578E-04  0.000000000E+00 -1.635711852E-01  1.885900238E-01  1.411828803E-01 
        76  1.419123905E-01  1.880063109E-01 -1.635636351E-01  5.244614062E-04  0.000000000E+00 -1.635636351E-01  1.880063109E-01  1.419123905E-01 
        77  1.416694185E-01  1.881978041E-01 -1.635546542E-01  2.387068248E-03  0.000000000E+00 -1.635546542E-01  1.881978041E-01  1.416694185E-01 
        78  1.419680786E-01  1.879595032E-01 -1.635541534E-01  0.000000000E+00  1.895655660E-03 -1.635541534E-01  1.879595032E-01  1.419680786E-01 
        79  1.418985322E-01  1.880137279E-01 -1.635493229E-01  7.963238978E-04  0.000000000E+00 -1.635493229E-01  1.880137279E-01  1.418985322E-01 
        80  1.418185746E-01  1.880769828E-01 -1.635473071E-01  1.284014448E-03  0.000000000E+00 -1.635473071E-01  1.880769828E-01  1.418185746E-01 
        81  1.419606759E-01  1.879633393E-01 -1.635460235E-01  1.505018087E-04  0.000000000E+00 -1.635460235E-01  1.879633393E-01  1.419606759E-01 
        82  1.411933636E-01  1.885743641E-01 -1.635424556E-01  1.582571126E-03  0.000000000E+00 -1.635424556E-01  1.885743641E-01  1.411933636E-01 
        83  1.419518679E-01  1.879678953E-01 -1.635363171E-01  3.124875991E-04  0.000000000E+00 -1.635363171E-01  1.879678953E-01  1.419518679E-01 
        84  1.415918754E-01  1.882541049E-01 -1.635328459E-01  2.951932437E-03  0.000000000E+00 -1.635328459E-01  1.882541049E-01  1.415918754E-01 
        85  1.419414461E-01  1.879732477E-01 -1.635246819E-01  4.990022095E-04  0.000000000E+00 -1.635246819E-01  1.879732477E-01  1.419414461E-01 
        86  1.410574188E-01  1.886782379E-01 -1.635246277E-01  0.000000000E+00  2.632913754E-04 -1.635246277E-01  1.886782379E-01  1.410574188E-01 
        87  1.419282776E-01  1.879805252E-01 -1.635120028E-01  7.814103338E-04  0.000000000E+00 -1.635120028E-01  1.879805252E-01  1.419282776E-01 
        88  1.410673118E-01  1.886667910E-01 -1.635106185E-01  4.363998340E-04  0.000000000E+00 -1.635106185E-01  1.886667910E-01  1.410673118E-01 
        89  1.414086821E-01  1.883942756E-01 -1.635095040E-01  3.412186023E-03  0.000000000E+00 -1.635095040E-01  1.883942756E-01  1.414086821E-01 
        90  1.412033721E-01  1.885574930E-01 -1.635074685E-01  2.638550575E-03  0.000000000E+00 -1.635074685E-01  1.885574930E-01  1.412033721E-01 
        91  1.417353143E-01  1.881305664E-01 -1.634968152E-01  2.548814553E-03  0.000000000E+00 -1.634968152E-01  1.881305664E-01  1.417353143E-01 
        92  1.410791341E-01  1.886532052E-01 -1.634942457E-01  9.353912237E-04  0.000000000E+00 -1.634942457E-01  1.886532052E-01  1.410791341E-01 
        93  1.420082245E-01  1.879104156E-01 -1.634870148E-01  0.000000000E+00  1.548723933E-03 -1.634870148E-01  1.879104156E-01  1.420082245E-01 
        94  1.420012150E-01  1.879142750E-01 -1.634801950E-01  1.429689945E-04  0.000000000E+00 -1.634801950E-01  1.879142750E-01  1.420012150E-01 
        95  1.418620127E-01  1.880249343E-01 -1.634787874E-01  1.463535403E-03  0.000000000E+00 -1.634787874E-01  1.880249343E-01  1.418620127E-01 
        96  1.410913025E-01  1.886381673E-01 -1.634732415E-01  1.517329616E-03  0.000000000E+00 -1.634732415E-01  1.886381673E-01  1.410913025E-01 
        97  1.419928870E-01  1.879188454E-01 -1.634720343E-01  3.003257792E-04  0.000000000E+00 -1.634720343E-01  1.879188454E-01  1.419928870E-01 
        98  1.419830224E-01  1.879242335E-01 -1.634622669E-01  4.859631972E-04  0.000000000E+00 -1.634622669E-01  1.879242335E-01  1.419830224E-01 
        99  1.417963735E-01  1.880721739E-01 -1.634586555E-01  2.189527114E-03  0.000000000E+00 -1.634586555E-01  1.880721739E-01  1.417963735E-01 
       100  1.409725037E-01  1.887277527E-01 -1.634529266E-01  0.000000000E+00  4.447645393E-04 -1.634529266E-01  1.887277527E-01  1.409725037E-01 
       101  1.419708347E-01  1.879312369E-01 -1.634515637E-01  7.772650823E-04  0.000000000E+00 -1.634515637E-01  1.879312369E-01  1.419708347E-01 
       102  1.415203576E-01  1.882899678E-01 -1.634494567E-01  4.201354329E-03  0.000000000E+00 -1.634494567E-01  1.882899678E-01  1.415203576E-01 
       103  1.411046916E-01  1.886210096E-01 -1.634477229E-01  2.248389752E-03  0.000000000E+00 -1.634477229E-01  1.886210096E-01  1.411046916E-01 
       104  1.409848057E-01  1.887148773E-01 -1.634408631E-01  4.407997221E-04  0.000000000E+00 -1.634408631E-01  1.887148773E-01  1.409848057E-01 
       105  1.420290375E-01  1.878796082E-01 -1.634310150E-01  0.000000000E+00  1.083729892E-03 -1.634310150E-01  1.878796082E-01  1.420290375E-01 
       106  1.409994655E-01  1.886996121E-01 -1.634267941E-01  9.427394853E-04  0.000000000E+00 -1.634267941E-01  1.886996121E-01  1.409994655E-01 
       107  1.420224505E-01  1.878833577E-01 -1.634251020E-01  1.444859593E-04  0.000000000E+00 -1.634251020E-01  1.878833577E-01  1.420224505E-01 
       108  1.419029005E-01  1.879785578E-01 -1.634245745E-01  1.479224098E-03  0.000000000E+00 -1.634245745E-01  1.879785578E-01  1.419029005E-01 
       109  1.416402893E-01  1.881869049E-01 -1.634203033E-01  3.949452274E-03  0.000000000E+00 -1.634203033E-01  1.881869049E-01  1.416402893E-01 
       110  1.420146021E-01  1.878878193E-01 -1.634180327E-01  3.026129714E-04  0.000000000E+00 -1.634180327E-01  1.878878193E-01  1.420146021E-01 
       111  1.412965063E-01  1.884589538E-01 -1.634119461E-01  4.471395219E-03  0.000000000E+00 -1.634119461E-01  1.884589538E-01  1.412965063E-01 
       112  1.420052814E-01  1.878930995E-01 -1.634095648E-01  4.850366798E-04  0.000000000E+00 -1.634095648E-01  1.878930995E-01  1.420052814E-01 
       113  1.410147907E-01  1.886825181E-01 -1.634076158E-01  1.523737793E-03  0.000000000E+00 -1.634076158E-01  1.886825181E-01  1.410147907E-01 
       114  1.419938691E-01  1.878998205E-01 -1.634002039E-01  7.452517168E-04  0.000000000E+00 -1.634002039E-01  1.878998205E-01  1.419938691E-01 
       115  1.417384644E-01  1.881007996E-01 -1.633895721E-01  3.536505451E-03  0.000000000E+00 -1.633895721E-01  1.881007996E-01  1.417384644E-01 
       116  1.410322722E-01  1.886626774E-01 -1.633843944E-01  2.248259148E-03  0.000000000E+00 -1.633843944E-01  1.886626774E-01  1.410322722E-01 
       117  1.418272395E-01  1.880279143E-01 -1.633813622E-01  2.634625172E-03  0.000000000E+00 -1.633813622E-01  1.880279143E-01  1.418272395E-01 
       118  1.419424067E-01  1.879345437E-01 -1.633753714E-01  1.373240035E-03  0.000000000E+00 -1.633753714E-01  1.879345437E-01  1.419424067E-01 
       119  1.420501862E-01  1.878482819E-01 -1.633740997E-01  0.000000000E+00  3.870753076E-04 -1.633740997E-01  1.878482819E-01  1.420501862E-01 
       120  1.420436376E-01  1.878521306E-01 -1.633686943E-01  1.409379748E-04  0.000000000E+00 -1.633686943E-01  1.878521306E-01  1.420436376E-01 
       121  1.420358191E-01  1.878567271E-01 -1.633622463E-01  2.998618536E-04  0.000000000E+00 -1.633622463E-01  1.878567271E-01  1.420358191E-01 
       122  1.420265122E-01  1.878621859E-01 -1.633545204E-01  4.859571910E-04  0.000000000E+00 -1.633545204E-01  1.878621859E-01  1.420265122E-01 
       123  1.418865553E-01  1.879723520E-01 -1.633488446E-01  2.305011457E-03  0.000000000E+00 -1.633488446E-01  1.879723520E-01  1.418865553E-01 
       124  1.420151932E-01  1.878690163E-01 -1.633458784E-01  7.094809571E-04  0.000000000E+00 -1.633458784E-01  1.878690163E-01  1.420151932E-01 
       125  1.414183125E-01  1.883423201E-01 -1.633352314E-01  5.866180199E-03  0.000000000E+00 -1.633352314E-01  1.883423201E-01  1.414183125E-01 
       126  1.419792950E-01  1.878935539E-01 -1.633297801E-01  1.158427630E-03  0.000000000E+00 -1.633297801E-01  1.878935539E-01  1.419792950E-01 
       127  1.420705719E-01  1.878180847E-01 -1.633192596E-01  0.000000000E+00  2.426072604E-04 -1.633192596E-01  1.878180847E-01  1.420705719E-01 
       128  1.420639382E-01  1.878220948E-01 -1.633142169E-01  1.551712411E-04  0.000000000E+00 -1.633142169E-01  1.878220948E-01  1.420639382E-01 
       129  1.408849487E-01  1.887614899E-01 -1.633108978E-01  0.000000000E+00 -1.795852928E-04 -1.633108978E-01  1.887614899E-01  1.408849487E-01 
       130  1.411310091E-01  1.885647667E-01 -1.633089575E-01  4.317629675E-03  0.000000000E+00 -1.633089575E-01  1.885647667E-01  1.411310091E-01 
       131  1.420560120E-01  1.878268903E-01 -1.633082079E-01  3.277339522E-04  0.000000000E+00 -1.633082079E-01  1.878268903E-01  1.420560120E-01 
       132  1.417650757E-01  1.880578461E-01 -1.633039703E-01  4.112359721E-03  0.000000000E+00 -1.633039703E-01  1.880578461E-01  1.417650757E-01 
       133  1.408975887E-01  1.887495811E-01 -1.633036983E-01  5.055368289E-04  0.000000000E+00 -1.633036983E-01  1.887495811E-01  1.408975887E-01 
       134  1.420465625E-01  1.878325993E-01 -1.633010124E-01  5.219623826E-04  0.000000000E+00 -1.633010124E-01  1.878325993E-01  1.420465625E-01 
       135  1.419210354E-01  1.879318808E-01 -1.632977661E-01  2.205177378E-03  0.000000000E+00 -1.632977661E-01  1.879318808E-01  1.419210354E-01 
       136  1.409126700E-01  1.887354194E-01 -1.632952936E-01  1.058044026E-03  0.000000000E+00 -1.632952936E-01  1.887354194E-01  1.409126700E-01 
       137  1.420351248E-01  1.878396610E-01 -1.632928988E-01  8.120588835E-04  0.000000000E+00 -1.632928988E-01  1.878396610E-01  1.420351248E-01 
       138  1.415505829E-01  1.882245026E-01 -1.632866669E-01  5.896391122E-03  0.000000000E+00 -1.632866669E-01  1.882245026E-01  1.415505829E-01 
       139  1.416695557E-01  1.881290894E-01 -1.632845764E-01  5.172005841E-03  0.000000000E+00 -1.632845764E-01  1.881290894E-01  1.416695557E-01 
       140  1.409288629E-01  1.887191784E-01 -1.632821927E-01  1.692677411E-03  0.000000000E+00 -1.632821927E-01  1.887191784E-01  1.409288629E-01 
       141  1.419682144E-01  1.878864419E-01 -1.632669780E-01  1.684878377E-03  0.000000000E+00 -1.632669780E-01  1.878864419E-01  1.419682144E-01 
       142  1.409479867E-01  1.886999659E-01 -1.632665953E-01  2.874548328E-03  0.000000000E+00 -1.632665953E-01  1.886999659E-01  1.409479867E-01 
       143  1.418391876E-01  1.879889984E-01 -1.632656403E-01  3.560885108E-03  0.000000000E+00 -1.632656403E-01  1.879889984E-01  1.418391876E-01 
       144  1.420916443E-01  1.877868805E-01 -1.632625732E-01  0.000000000E+00 -2.724097736E-04 -1.632625732E-01  1.877868805E-01  1.420916443E-01 
       145  1.420849330E-01  1.877910399E-01 -1.632578795E-01  1.776787901E-04  0.000000000E+00 -1.632578795E-01  1.877910399E-01  1.420849330E-01 
       146  1.420769018E-01  1.877960246E-01 -1.632522913E-01  3.842030250E-04  0.000000000E+00 -1.632522913E-01  1.877960246E-01  1.420769018E-01 
       147  1.420673060E-01  1.878019792E-01 -1.632456096E-01  6.120480382E-04  0.000000000E+00 -1.632456096E-01  1.878019792E-01  1.420673060E-01 
       148  1.420557165E-01  1.878092946E-01 -1.632380262E-01  8.928155825E-04  0.000000000E+00 -1.632380262E-01  1.878092946E-01  1.420557165E-01 
       149  1.408340302E-01  1.887836151E-01 -1.632381287E-01  0.000000000E+00 -1.705871983E-04 -1.632381287E-01  1.887836151E-01  1.408340302E-01 
       150  1.408479593E-01  1.887710435E-01 -1.632323691E-01  5.434766261E-04  0.000000000E+00 -1.632323691E-01  1.887710435E-01  1.408479593E-01 
       151  1.408645514E-01  1.887561203E-01 -1.632257130E-01  1.153268115E-03  0.000000000E+00 -1.632257130E-01  1.887561203E-01  1.408645514E-01 
       152  1.412912693E-01  1.884131419E-01 -1.632151449E-01  7.164499773E-03  0.000000000E+00 -1.632151449E-01  1.884131419E-01  1.412912693E-01 
       153  1.419950859E-01  1.878516254E-01 -1.632143093E-01  1.660959540E-03  0.000000000E+00 -1.632143093E-01  1.878516254E-01  1.419950859E-01 
       154  1.408823964E-01  1.887389519E-01 -1.632141522E-01  1.864094287E-03  0.000000000E+00 -1.632141522E-01  1.887389519E-01  1.408823964E-01 
       155  1.421125488E-01  1.877559204E-01 -1.632062988E-01  0.000000000E+00 -3.684955538E-04 -1.632062988E-01  1.877559204E-01  1.421125488E-01 
       156  1.421060311E-01  1.877600554E-01 -1.632021204E-01  1.841915244E-04  0.000000000E+00 -1.632021204E-01  1.877600554E-01  1.421060311E-01 
       157  1.409037063E-01  1.887185459E-01 -1.632007238E-01  3.144226782E-03  0.000000000E+00 -1.632007238E-01  1.887185459E-01  1.409037063E-01 
       158  1.419106626E-01  1.879154590E-01 -1.632005931E-01  2.983397612E-03  0.000000000E+00 -1.632005931E-01  1.879154590E-01  1.419106626E-01 
       159  1.417382660E-01  1.880525513E-01 -1.631989899E-01  5.268139941E-03  0.000000000E+00 -1.631989899E-01  1.880525513E-01  1.417382660E-01 
       160  1.420981994E-01  1.877650338E-01 -1.631971387E-01  4.079035852E-04  0.000000000E+00 -1.631971387E-01  1.877650338E-01  1.420981994E-01 
       161  1.420887931E-01  1.877710184E-01 -1.631911755E-01  6.610257077E-04  0.000000000E+00 -1.631911755E-01  1.877710184E-01  1.420887931E-01 
       162  1.420774029E-01  1.877783598E-01 -1.631843277E-01  9.074695563E-04  0.000000000E+00 -1.631843277E-01  1.877783598E-01  1.420774029E-01 
       163  1.420364009E-01  1.878051188E-01 -1.631609594E-01  1.506796248E-03  0.000000000E+00 -1.631609594E-01  1.878051188E-01  1.420364009E-01 
       164  1.418212585E-01  1.879767303E-01 -1.631610718E-01  4.528514950E-03  0.000000000E+00 -1.631610718E-01  1.879767303E-01  1.418212585E-01 
       165  1.421329193E-01  1.877257385E-01 -1.631514740E-01  0.000000000E+00 -3.021210367E-04 -1.631514740E-01  1.877257385E-01  1.421329193E-01 
       166  1.421258922E-01  1.877303058E-01 -1.631473901E-01  1.611922255E-04  0.000000000E+00 -1.631473901E-01  1.877303058E-01  1.421258922E-01 
       167  1.410158122E-01  1.886156063E-01 -1.631474197E-01  5.401151701E-03  0.000000000E+00 -1.631474197E-01  1.886156063E-01  1.410158122E-01 
       168  1.407680359E-01  1.888122864E-01 -1.631438293E-01  0.000000000E+00  1.487330088E-03 -1.631438293E-01  1.888122864E-01  1.407680359E-01 
       169  1.421174374E-01  1.877358142E-01 -1.631425289E-01  3.589999059E-04  0.000000000E+00 -1.631425289E-01  1.877358142E-01  1.421174374E-01 
       170  1.407841945E-01  1.887984182E-01 -1.631399634E-01  5.462874383E-04  0.000000000E+00 -1.631399634E-01  1.887984182E-01  1.407841945E-01 
       171  1.414422302E-01  1.882735291E-01 -1.631395111E-01  7.890485142E-03  0.000000000E+00 -1.631395111E-01  1.882735291E-01  1.414422302E-01 
       172  1.421073494E-01  1.877423969E-01 -1.631367690E-01  5.860211352E-04  0.000000000E+00 -1.631367690E-01  1.877423969E-01  1.421073494E-01 
       173  1.408035195E-01  1.887818488E-01 -1.631354046E-01  1.176727889E-03  0.000000000E+00 -1.631354046E-01  1.887818488E-01  1.408035195E-01 
       174  1.420952607E-01  1.877503715E-01 -1.631302067E-01  9.428890567E-04  0.000000000E+00 -1.631302067E-01  1.877503715E-01  1.420952607E-01 
       175  1.419646344E-01  1.878536647E-01 -1.631267691E-01  2.816392181E-03  0.000000000E+00 -1.631267691E-01  1.878536647E-01  1.419646344E-01 
       176  1.408248995E-01  1.887622332E-01 -1.631253051E-01  1.912845240E-03  0.000000000E+00 -1.631253051E-01  1.887622332E-01  1.408248995E-01 
       177  1.416063843E-01  1.881372070E-01 -1.631182404E-01  7.140448833E-03  0.000000000E+00 -1.631182404E-01  1.881372070E-01  1.416063843E-01 
